-78.814332	151.30134
-80.882113	152.12768
-86.548247	154.35431
-95.006925	157.60265
-105.45233	161.49411
-117.07867	165.65013
-129.08011	169.69212
-140.65085	173.24149
-150.98508	175.91967
-153.18875	176.21017
-157.16997	176.52788
-162.66384	176.86645
-169.40549	177.21955
-177.13002	177.58084
-185.57254	177.94397
-194.46817	178.30261
-203.55203	178.65042
-212.55923	178.98105
-221.22487	179.28817
-229.28408	179.56544
-236.47197	179.80651
-242.52365	180.00504
-247.17423	180.1547
-250.15883	180.24915
-251.21256	180.28204
-264.77942	180.60079
-277.41674	180.20124
-289.15052	179.08753
-300.00676	177.26375
-310.01146	174.73402
-319.19061	171.50245
-327.57022	167.57316
-335.17629	162.95025
-342.03481	157.63785
-348.1718	151.64005
-353.61324	144.96098
-358.38513	137.60474
-362.51349	129.57545
-366.0243	120.87722
-368.94357	111.51417
-371.29729	101.4904
-367.72369	-33.966671
